Year,Event,Stat
1901,1901 American League Player Review,"1901 American League Player Review
1901 Hitting Statistics League Leaderboards | 1902 →"
1901,1901 American League Player Review,Statistic | Name(s) | Team(s) | # | Top 25
1901,1901 American League Player Review,Base on Balls | Dummy Hoy | Chicago | 86 | Top 25
1901,1901 American League Player Review,Batting Average | Nap Lajoie | Philadelphia | .426 | Top 25
1901,1901 American League Player Review,Doubles | Nap Lajoie | Philadelphia | 48 | Top 25
1901,1901 American League Player Review,Hits | Nap Lajoie | Philadelphia | 232 | Top 25
1901,1901 American League Player Review,Home Runs | Nap Lajoie | Philadelphia | 14 | Top 25
1901,1901 American League Player Review,On Base Percentage | Nap Lajoie | Philadelphia | .463 | Top 25
1901,1901 American League Player Review,RBI | Nap Lajoie | Philadelphia | 125 | Top 25
1901,1901 American League Player Review,Runs | Nap Lajoie | Philadelphia | 145 | Top 25
1901,1901 American League Player Review,Slugging Average | Nap Lajoie | Philadelphia | .643 | Top 25
1901,1901 American League Player Review,Stolen Bases | Frank Isbell | Chicago | 52 | Top 25
1901,1901 American League Player Review,Total Bases | Nap Lajoie | Philadelphia | 350 | Top 25
1901,1901 American League Player Review,Triples | Bill Keister | Baltimore | 21 | Top 25
1901,1901 American League Player Review,Jimmy Williams
1901,1901 American League Player Review,Statistic | Name(s) | Team(s) | # | Top 25
1901,1901 American League Player Review,1901 A.L. History | 1901 N.L. History | Year-by-Year History
1901,1901 American League Pitcher Review,"1901 American League Pitcher Review
1901 Pitching Statistics League Leaderboards | 1902 →"
1901,1901 American League Pitcher Review,Statistic | Name(s) | Team(s) | # | Top 25
1901,1901 American League Pitcher Review,Complete Games | Joe McGinnity | Baltimore | 39 | Top 25
1901,1901 American League Pitcher Review,ERA | Cy Young | Boston | 1.62 | Top 25
1901,1901 American League Pitcher Review,Games | Joe McGinnity | Baltimore | 48 | Top 25
1901,1901 American League Pitcher Review,Saves | Bill Hoffer | Cleveland | 3 | Top 25
1901,1901 American League Pitcher Review,Shutouts | Clark Griffith | Chicago | 5 | Top 25
1901,1901 American League Pitcher Review,Cy Young | Boston
1901,1901 American League Pitcher Review,Strikeouts | Cy Young | Boston | 158 | Top 25
1901,1901 American League Pitcher Review,Winning Percentage | Clark Griffith | Chicago | .774 | Top 25
1901,1901 American League Pitcher Review,Wins | Cy Young | Boston | 33 | Top 25
1901,1901 American League Pitcher Review,Statistic | Name(s) | Team(s) | # | Top 25
1901,1901 American League Pitcher Review,1901 A.L. History | 1901 N.L. History | Year-by-Year History
1901,1901 American League,"1901 American League
Team Standings"
1901,1901 American League,Team | Roster | W | L | WP | GB
1901,1901 American League,Chicago White Sox | 83 | 53 | .610 | 0
1901,1901 American League,Boston Americans | 79 | 57 | .581 | 4
1901,1901 American League,Detroit Tigers | 74 | 61 | .548 | 8½
1901,1901 American League,Philadelphia Athletics | 74 | 62 | .544 | 9
1901,1901 American League,Baltimore Orioles | 68 | 65 | .511 | 13½
1901,1901 American League,Washington Senators | 61 | 72 | .459 | 20½
1901,1901 American League,Cleveland Blues | 54 | 82 | .397 | 29
1901,1901 American League,Milwaukee Brewers | 48 | 89 | .350 | 35½
1901,1901 American League,Team | Roster | W | L | WP | GB
1901,1901 American League,1901 American League Team Standings
1901,1901 American League Team Review,"1901 American League Team Review
Hitting Statistics League Leaderboard"
1901,1901 American League Team Review,Statistic | Team | #
1901,1901 American League Team Review,Base on Balls | Chicago | 475
1901,1901 American League Team Review,Batting Average | Baltimore | .294
1901,1901 American League Team Review,Doubles | Philadelphia | 239
1901,1901 American League Team Review,"Hits | Philadelphia | 1,409"
1901,1901 American League Team Review,Home Runs | Boston | 37
1901,1901 American League Team Review,On Base Percentage | Baltimore | .353
1901,1901 American League Team Review,Runs | Chicago | 819
1901,1901 American League Team Review,Slugging Average | Baltimore | .397
1901,1901 American League Team Review,Stolen Bases | Chicago | 280
1901,1901 American League Team Review,Triples | Baltimore | 111
1901,1901 American League Team Review,Statistic | Team | #
1901,1901 American League Team Review,"1901 American League Team Review
Pitching Statistics League Leaderboard"
1901,1901 American League Team Review,Statistic | Team | #
1901,1901 American League Team Review,Complete Games | Philadelphia | 124
1901,1901 American League Team Review,ERA | Chicago | 2.98
1901,1901 American League Team Review,"Fewest Hits Allowed | Boston | 1,178"
1901,1901 American League Team Review,Fewest Home Runs Allowed | Philadelphia | 20
1901,1901 American League Team Review,Fewest Walks Allowed | Washington | 284
1901,1901 American League Team Review,Saves | Cleveland | 4
1901,1901 American League Team Review,Milwaukee
1901,1901 American League Team Review,Shutouts | Chicago | 11
1901,1901 American League Team Review,Strikeouts | Boston | 396
1901,1901 American League Team Review,Statistic | Team | #
1902,1902 American League Player Review,"1902 American League Player Review
← 1901 | 1902 Hitting Statistics League Leaders | 1903 →"
1902,1902 American League Player Review,Statistic | Name(s) | Team(s) | # | Top 25
1902,1902 American League Player Review,Base on Balls | Topsy Hartsel | Philadelphia | 87 | Top 25
